日期	产品	负责人	数量	折扣	价格	销售额
20200701	Archaeopteryx	舒淇	204	0.525	20.95	2030.06
20201030	Adidas	黄渤	96	0.4375	26.95	1455.3
20200511	狼爪	陈立农	7	0.055	23.95	158.43
20201119	Puma	张艺兴	6	0.055	27.95	158.48
20200510	Nike	吴映洁	113	0.475	20.95	1242.86
20200914	Converse	王源	108	0.475	44.95	2548.67
20201026	Archaeopteryx	沈月	9	0.055	20.95	178.18
20201020	Puma	张大大	34	0.375	27.95	593.94
20201030	Nike	王祖蓝	85	0.4375	20.95	1001.67
20200203	Columbia	陈立农	240	0.525	25.95	2958.3
20201211	Converse	宋小宝	66	0.4375	44.95	1668.77
20201211	杰克琼斯	宋小宝	24	0.375	49.95	749.25
20200717	The North Face	舒淇	58	0.4375	26	848.25
20201103	Nike	张大大	96	0.4375	20.95	1131.3
20200524	Puma	邓超	28	0.375	27.95	489.13
20201021	Puma	马天宇	8	0.055	27.95	211.3
20201209	Nike	宋小宝	84	0.4375	20.95	989.89
20201210	Adidas	白举纲	165	0.475	26.95	2334.54
20201028	Puma	王俊凯	72	0.4375	27.95	1131.98
20201116	Nike	王鹤棣	57	0.4375	20.95	671.71
20201026	Nike	黄渤	72	0.4375	20.95	848.48
20201122	狼爪	王祖蓝	43	0.4	23.95	617.91
20200505	Columbia	王祖蓝	92	0.4375	25.95	1342.91
20201021	探路者	王源	184	0.475	24.95	2410.17
20200107	安踏	王祖蓝	72	0.4375	36.95	1496.48
20200513	狼爪	王祖蓝	84	0.4375	23.95	1131.64
20201204	Puma	王祖蓝	240	0.525	27.95	3186.3
20200506	Columbia	宋小宝	204	0.525	25.95	2514.56
20200601	Converse	官鸿	173	0.475	44.95	4082.58
20201031	Converse	王鹤棣	7	0.055	44.95	297.34
20201210	狼爪	黄渤	72	0.4375	23.95	969.98
20200424	Puma	舒淇	84	0.4375	27.95	1320.64
20201031	Columbia	苏有朋	60	0.4375	25.95	875.81
20201026	李宁	黄渤	7	0.055	26.95	178.27
20200405	Adidas	张艺兴	30	0.375	26.95	505.31
20200922	利郎	王祖蓝	60	0.4375	29.95	1010.81
20200821	Puma	舒淇	216	0.525	27.95	2867.67
20201228	Nike	张艺兴	69	0.4375	20.95	813.12
20200321	Nike	蔡徐坤	20	0.25	20.95	314.25
20201115	安德玛	张艺兴	125	0.475	14.95	981.09
20200328	The North Face	马天宇	60	0.4375	26	877.5
20201117	Puma	王祖蓝	240	0.525	27.95	3186.3
20200524	探路者	王祖蓝	132	0.475	24.95	1729.04
20201102	Puma	官鸿	96	0.4375	27.95	1509.3
20201024	Columbia	黄渤	72	0.4375	25.95	1050.98
20201015	杰克琼斯	王祖蓝	7	0.055	49.95	330.42
20201216	Converse	黄晓明	7	0.055	44.95	297.34
20201206	Columbia	王祖蓝	7	0.055	25.95	171.66
20201113	Nike	王祖蓝	72	0.4375	20.95	848.48
20201204	李宁	王祖蓝	8	0.055	26.95	203.74
20201203	杰克琼斯	黄渤	36	0.4	49.95	1078.92
20201109	Converse	王源	7	0.055	44.95	297.34
20200425	李宁	张艺兴	72	0.4375	26.95	1091.48
20201219	安踏	宋小宝	5	0.055	36.95	174.59
20201208	Nike	易烊千玺	30	0.375	20.95	392.81
20201126	Puma	王祖蓝	7	0.055	27.95	184.89
